
Gurobi 11.0.3 (linux64, Java) logging started sáb 30 nov 2024 21:57:56 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.5029985070196468e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 58003 rows, 39068 columns and 204825 nonzeros
Model fingerprint: 0xa44caea7
Model has 144 quadratic constraints
Variable types: 19466 continuous, 19602 integer (139 binary)
Coefficient statistics:
  Matrix range     [7e-03, 6e+05]
  QMatrix range    [7e-03, 2e+04]
  QLMatrix range   [1e+00, 2e+04]
  Objective range  [2e+00, 8e+06]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [5e-02, 5e-02]
Presolve removed 57813 rows and 38465 columns
Presolve time: 0.12s
Presolved: 637 rows, 749 columns, 6578 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 139 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 427 continuous, 322 integer (141 binary)
Found heuristic solution: objective 180950.82739

Root relaxation: objective 0.000000e+00, 77 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 1808120 1411061 52882.6195  160   47 58414.3142 22058.0033  62.2%   3.0  695s
 1819039 1417294 54271.2912  144   50 58414.3142 22059.7283  62.2%   3.0  700s
 1829721 1423143 49234.5935  127   54 58414.3142 22061.8549  62.2%   3.0  705s
 1838990 1426883 57969.8923  114   53 58414.3142 22064.5037  62.2%   3.0  711s
 1845063 1429994     cutoff  108      58414.3142 22066.1642  62.2%   3.0  715s
 1855450 1435964 46176.7601   76   49 58414.3142 22068.4890  62.2%   3.0  720s
 1867106 1443982 43707.1017  138   53 58414.3142 22069.8828  62.2%   3.0  726s
 1874319 1448033 37573.3325   74   60 58414.3142 22071.1647  62.2%   3.0  730s
 1886078 1454004 36088.5793   88   60 58414.3142 22072.8395  62.2%   3.0  735s
 1895500 1460124 56302.3019  160   49 58414.3142 22073.6660  62.2%   3.0  741s
 1903463 1463894     cutoff  137      58414.3142 22075.1003  62.2%   3.0  745s
 1915057 1469393 29363.7443   65   61 58414.3142 22077.4574  62.2%   3.0  750s
 1925805 1477255 35892.1697  117   55 58414.3142 22079.6216  62.2%   3.0  756s
 1933067 1481425 57010.2109  172   46 58414.3142 22080.1319  62.2%   3.0  760s
 1943052 1487035     cutoff  127      58414.3142 22081.7321  62.2%   3.0  765s
 1954121 1493302     cutoff  133      58414.3142 22083.1265  62.2%   3.0  770s
 1962103 1496877 34649.7339   82   58 58414.3142 22085.3767  62.2%   3.0  775s
 1973307 1504585 26083.7717   66   66 58414.3142 22086.7996  62.2%   3.1  780s
 1983423 1509935 43849.0124  108   51 58414.3142 22088.7263  62.2%   3.1  786s
H1987807 1511705                    58368.666083 22089.5813  62.2%   3.1  789s
H1989187 1512707                    58270.869836 22089.5813  62.1%   3.1  789s
 1989321 1512876 39061.2627  132   54 58270.8698 22089.5813  62.1%   3.1  790s
 1999439 1518239 40177.4531   81   60 58270.8698 22091.3672  62.1%   3.1  795s
 2009748 1525466 47456.6956  130   55 58270.8698 22093.0628  62.1%   3.1  801s
 2019065 1530493 56644.7774  135   49 58270.8698 22095.0267  62.1%   3.1  805s
 2028749 1533494     cutoff  120      58270.8698 22098.1195  62.1%   3.1  810s
 2038724 1537541     cutoff  122      58270.8698 22100.1569  62.1%   3.1  815s
 2045889 1542071 46216.9312  140   54 58270.8698 22100.8688  62.1%   3.1  820s
 2055591 1547863 58171.6709  148   46 58270.8698 22102.6774  62.1%   3.1  825s
H2057248 1548760                    58270.819245 22102.6961  62.1%   3.1  826s
 2064766 1552854 56141.5626  120   51 58270.8192 22105.2346  62.1%   3.1  830s
 2074986 1557342 57493.6222  138   45 58270.8192 22107.5701  62.1%   3.1  835s
 2082519 1561749     cutoff  120      58270.8192 22108.8976  62.1%   3.1  840s
 2093427 1567962     cutoff  135      58270.8192 22110.9116  62.1%   3.1  845s
 2102677 1573103 44518.2898   82   59 58270.8192 22112.8447  62.1%   3.1  851s
 2109295 1576110 55814.2615  109   54 58270.8192 22113.3546  62.1%   3.1  855s
H2116653 1581097                    58270.789920 22114.0596  62.0%   3.1  858s
H2117650 1582102                    58270.774675 22114.0596  62.0%   3.1  859s
H2117859 1582308                    58270.769235 22114.0596  62.0%   3.1  859s
 2118668 1582688     cutoff  165      58270.7692 22114.0596  62.0%   3.1  860s
 2127631 1587153     cutoff  111      58270.7692 22116.7060  62.0%   3.1  866s
 2134517 1591741 36500.7510   96   56 58270.7692 22118.0456  62.0%   3.1  870s
 2145193 1597726 42134.1859  117   57 58270.7692 22119.7455  62.0%   3.1  875s
 2155128 1602917 58006.6141  134   48 58270.7692 22121.2269  62.0%   3.1  880s
